cod_proposta,cod_cliente,cod_colaborador,data_entrada_proposta,taxa_juros_mensal,valor_proposta,valor_financiamento,valor_entrada,valor_prestacao,quantidade_parcelas,carencia,status_proposta
116,338,1,2014-05-30 18:43:12 UTC,0.0194,36199.950354610148,50032.03,13832.079645389851,1045.2198253419488,58,0,Enviada
715,45,1,2021-06-17 13:09:32 UTC,0.0131,12897.538285403731,19848.55,6951.0117145962686,232.12468459986448,100,1,Enviada
755,494,1,2021-08-10 04:24:02 UTC,0.0203,122236.31255105021,187154.36,64918.047448949765,3673.5189508429689,56,0,Enviada
953,381,1,2011-02-23 07:57:58 UTC,0.0167,47784.6497568384,59530.61,11745.960243161599,955.04155963953986,109,3,Enviada
1046,176,1,2010-11-15 16:03:28 UTC,0.0211,178393.03824276471,214294.19,35901.15175723529,10219.65941480147,22,4,Enviada
1171,732,1,2020-05-04 21:51:58 UTC,0.0242,40476.959007929647,56464.88,15987.920992070354,20976.064000685157,2,0,Enviada
1434,560,1,2020-01-31 00:02:49 UTC,0.0169,137637.61548997936,192947.94,55310.32451002064,2861.6076046244925,100,0,Enviada
1744,159,1,2016-03-04 20:31:58 UTC,0.018,1317.1257616171436,1605.63,288.50423838285656,36.078664607857448,60,2,Enviada
1864,776,1,2019-09-13 10:21:31 UTC,0.011,106127.47060972653,128472.96,22345.489390273473,1774.9338489739789,98,4,Enviada
1928,421,1,2014-05-08 15:43:27 UTC,0.02,3455.6064890323746,6668.98,3213.373510967625,211.33355200167711,20,2,Enviada
41,608,2,2021-03-04 08:08:46 UTC,0.0136,168359.67759110138,235794.55,67434.8724088986,35058.121491498576,5,4,Enviada
416,342,2,2015-10-11 14:28:01 UTC,0.0187,112227.04509632642,215028.75,102801.70490367358,3156.6754779627627,59,1,Enviada
581,81,2,2022-03-19 23:43:49 UTC,0.0183,59901.042896536164,112333.57,52432.527103463843,1309.8042133151971,100,6,Enviada
678,788,2,2011-02-03 06:12:10 UTC,0.0165,111091.74640892055,167331.74,56239.993591079445,5459.0590538435727,25,3,Enviada
1272,673,2,2012-10-13 07:02:05 UTC,0.0204,53294.785089463439,69167.42,15872.634910536561,1370.9594666509722,78,6,Enviada
1469,895,2,2022-04-08 06:23:32 UTC,0.0199,38892.281699571417,68709.07,29816.78830042859,1298.5225831127636,46,6,Enviada
91,117,3,2010-03-24 01:05:13 UTC,0.0174,71838.2390392274,111779.56,39941.320960772609,1616.7132431016391,86,1,Enviada
102,859,3,2021-06-16 09:12:09 UTC,0.0164,107696.2338189013,199719.09,92022.8561810987,2441.637260203006,79,2,Enviada
523,587,3,2012-12-31 07:51:31 UTC,0.019,42714.080198420808,51641.15,8927.069801579195,1835.9446895728747,31,6,Enviada
979,778,3,2014-06-28 16:57:58 UTC,0.0238,104763.13438780385,157840.73,53077.595612196172,2717.9797660671261,106,4,Enviada
1564,419,3,2013-11-10 00:28:30 UTC,0.0218,13502.181268480039,21466.99,7964.8087315199618,1668.4678939183793,9,5,Enviada
86,938,4,2013-06-17 23:23:46 UTC,0.0135,3184.4418528988044,5522.97,2338.5281471011958,61.338137376827305,90,5,Enviada
209,635,4,2011-06-10 22:53:56 UTC,0.0142,161192.348874469,233647.2,72454.851125531,19205.789850033918,9,6,Enviada
226,88,4,2010-05-08 06:27:52 UTC,0.0194,121138.6476684204,154297.83,33159.182331579592,2680.1511332326281,109,6,Enviada
543,710,4,2014-06-19 18:52:17 UTC,0.0199,41698.0655006476,66347.38,24649.3144993524,1081.3994492486784,74,4,Enviada
886,138,4,2016-06-26 23:19:30 UTC,0.0201,17467.397581144243,25261.08,7793.6824188557575,522.54004205426827,56,1,Enviada
1045,934,4,2016-05-15 21:08:53 UTC,0.0212,180566.23559891657,239033.99,58467.754401083432,13425.472084191981,16,3,Enviada
1566,648,4,2015-10-07 14:06:02 UTC,0.0165,15578.90520503972,30167.01,14588.104794960278,4056.6982695489537,4,4,Enviada
1573,395,4,2013-01-20 11:07:21 UTC,0.0125,131608.19533067904,167117.91,35509.714669320965,2490.081034346731,87,3,Enviada
23,358,5,2020-05-30 04:42:27 UTC,0.0113,13338.287211939802,18727.61,5389.3227880601989,252.23729280744053,81,0,Enviada
352,249,5,2014-12-06 01:59:40 UTC,0.0093,27214.508618646963,33278.95,6064.4413813530346,3166.1778675723363,9,3,Enviada
1291,928,5,2013-12-30 18:42:28 UTC,0.024,101775.63150391591,147301.56,45525.928496084081,9206.4363744527436,13,4,Enviada
308,335,6,2022-08-09 15:51:27 UTC,0.0204,138074.88904624793,177330.72,39255.830953752076,3698.4126784696596,71,3,Enviada
1120,114,6,2011-10-04 08:23:32 UTC,0.0129,6214.06796145798,9537.71,3323.6420385420183,282.84370123944848,26,4,Enviada
1390,806,6,2018-11-15 02:42:49 UTC,0.0243,103211.59065496648,124934.78,21723.189345033526,5401.3659153902463,26,2,Enviada
1639,827,6,2013-12-09 22:00:45 UTC,0.0129,155881.86296694752,206120.59,50238.727033052484,3091.6370449514766,82,2,Enviada
72,983,7,2022-03-21 04:49:19 UTC,0.0108,60091.110033555451,109302.14,49211.029966444548,2755.5992606865757,25,1,Enviada
1121,572,8,2010-01-07 12:30:10 UTC,0.0247,185357.39269636711,234345.58,48988.187303632876,4913.8992510757262,110,2,Enviada
1669,65,8,2022-09-24 01:37:57 UTC,0.0179,88993.96692125249,116726.64,27732.67307874751,1851.3492638752994,111,5,Enviada
906,787,10,2015-09-17 07:18:09 UTC,0.0157,106954.15487289925,183309.59,76355.435127100747,2471.9891614039839,73,4,Enviada
1861,905,10,2012-02-20 12:54:02 UTC,0.021,2130.4377860610402,2850.11,719.67221393896011,70.035477815040821,49,3,Enviada
1911,127,10,2021-02-17 16:43:26 UTC,0.0159,55943.238826784895,72010.93,16067.691173215098,1425.5808335638139,62,5,Enviada
1956,336,10,2015-11-20 19:09:20 UTC,0.0165,62196.84847079376,81395.72,19198.871529206241,2031.1537488044978,43,2,Enviada
487,635,11,2015-05-05 18:40:19 UTC,0.0182,13134.527461582678,20036.49,6901.9625384173232,355.11897276595613,62,4,Enviada
553,511,11,2014-04-07 09:13:03 UTC,0.0084,54924.839471759318,67689.85,12765.010528240691,1498.3306058184396,44,3,Enviada
87,528,12,2021-07-03 18:31:08 UTC,0.0178,54837.439265361165,80436.1,25598.660734638841,1182.2254527601683,99,0,Enviada
230,561,12,2014-06-17 01:23:40 UTC,0.0117,177882.89483999385,225362.93,47480.035160006126,20938.93421767477,9,3,Enviada
478,551,12,2016-01-06 08:08:03 UTC,0.0223,80871.280796394276,113384.93,32513.649203605721,2038.1535903656693,98,3,Enviada
1222,876,12,2018-07-18 09:59:32 UTC,0.0095,56134.721117012,77171.78,21037.058882988,2159.2600294926833,30,6,Enviada
1413,498,12,2020-08-21 12:01:47 UTC,0.0177,1702.589459387937,2118.23,415.64054061206286,97.782232690645927,21,1,Enviada
1728,545,12,2017-12-17 12:46:31 UTC,0.019,31701.490710584763,49986.53,18285.039289415236,675.63782047241159,118,1,Enviada
1875,973,12,2017-05-28 06:08:20 UTC,0.0127,113668.20095291919,145713.86,32045.659047080797,5335.2236726551137,25,2,Enviada
53,489,13,2021-11-30 01:11:53 UTC,0.0123,68601.859154947786,90359.89,21758.030845052217,1305.7214052279305,85,5,Enviada
576,905,13,2018-07-29 06:28:27 UTC,0.0136,74902.218940104824,108072.51,33170.291059895178,1599.3744331025559,75,0,Enviada
673,927,13,2020-07-20 09:16:36 UTC,0.0213,122043.33760680939,193809.71,71766.3723931906,4187.837959209668,46,4,Enviada
875,429,13,2019-02-04 17:53:39 UTC,0.0169,142939.09757253266,185095.87,42156.772427467338,73286.36219254446,2,3,Enviada
1159,332,15,2017-08-14 11:30:11 UTC,0.0123,12489.678561473642,19344.59,6854.9114385263583,326.55565490852638,52,4,Enviada
1339,429,15,2015-11-10 13:13:00 UTC,0.0194,36926.128632885142,44548.77,7622.6413671148539,996.82984907887339,66,0,Enviada
1846,642,15,2018-02-13 23:35:58 UTC,0.0119,117394.81481822021,227027.5,109632.68518177979,7668.4799353578774,17,1,Enviada
22,355,16,2021-05-14 18:13:36 UTC,0.0087,31123.472798400806,42496.51,11373.037201599194,496.49445557793456,91,6,Enviada
46,575,16,2019-03-14 04:06:15 UTC,0.0209,43183.002110085683,78427.34,35244.337889914314,986.69987896640851,119,6,Enviada
839,174,16,2019-10-05 15:24:50 UTC,0.0223,145336.82141844125,195421.72,50084.898581558751,16375.16141397054,10,2,Enviada
896,705,16,2012-04-24 11:31:09 UTC,0.0101,114731.99919586215,216856.25,102124.25080413785,1838.6720458588352,99,5,Enviada
1251,533,16,2017-04-23 00:37:41 UTC,0.0195,26362.311548648635,33955.36,7593.0484513513647,1673.6909362272384,19,4,Enviada
1393,853,16,2012-06-05 20:29:13 UTC,0.0131,30487.987980881833,52975.78,22487.792019118166,823.33838892013955,51,0,Enviada
1540,984,16,2022-03-17 00:37:06 UTC,0.0237,134454.66257064315,170958.4,36503.737429356843,3953.80658861034,70,3,Enviada
1799,688,16,2015-01-14 05:30:39 UTC,0.0101,152770.39109564296,208553.81,55783.41890435703,2273.2261430181998,113,2,Enviada
483,28,17,2015-04-03 04:34:11 UTC,0.0106,13056.935826796936,18009.22,4952.2841732030647,285.15707794358997,63,3,Enviada
508,857,17,2017-08-21 18:47:21 UTC,0.0082,21295.357195735629,40141.99,18846.632804264369,286.71582217169009,115,1,Enviada
687,2,17,2014-06-18 12:27:41 UTC,0.0184,59582.466811706377,89576.9,29994.433188293617,1263.2529940049787,111,3,Enviada
1602,858,17,2017-08-01 09:32:19 UTC,0.0225,12469.460922072223,20343.34,7873.879077927777,322.158143824049,92,6,Enviada
1815,192,17,2019-07-25 02:13:59 UTC,0.0216,57306.664855167888,77305.08,19998.415144832114,58544.488816039353,1,0,Enviada
104,921,18,2012-04-02 08:36:34 UTC,0.019,19286.333734423839,35071.35,15785.01626557616,419.33347383282194,110,4,Enviada
231,189,18,2016-12-10 16:16:53 UTC,0.0218,4663.6866946644814,8762.78,4099.0933053355193,113.17550517714645,106,2,Enviada
302,448,18,2013-02-16 23:46:50 UTC,0.0133,206514.6355586985,246916.06,40401.424441301511,8172.77493894318,31,6,Enviada
306,813,18,2011-03-31 22:02:19 UTC,0.0195,61031.813492356632,102755.99,41724.176507643373,6776.6974338845721,10,5,Enviada
353,750,18,2012-04-15 06:14:28 UTC,0.0153,108348.98917333643,197148.24,88799.250826663556,3856.7724188282364,37,4,Enviada
359,903,18,2012-05-06 08:07:37 UTC,0.0165,112299.60438694365,167978.57,55678.965613056353,2657.7066212703166,73,5,Enviada
505,853,18,2011-02-18 11:55:27 UTC,0.0087,133575.19723012083,228888.78,95313.582769879169,2247.9923110642244,84,2,Enviada
1466,105,18,2015-08-16 04:19:44 UTC,0.0182,101145.61793470163,194336.22,93190.602065298372,2263.8858304850987,93,1,Enviada
1914,523,18,2017-07-15 05:48:38 UTC,0.0084,173873.84123518324,225277.05,51403.208764816743,3104.5392327943232,76,2,Enviada
1920,516,18,2020-02-21 21:40:43 UTC,0.0203,53781.128027198691,63393.69,9612.5619728013153,1475.6555545075171,67,6,Enviada
88,194,19,2012-10-03 08:20:31 UTC,0.0105,70119.782966490748,134983.88,64864.097033509264,3738.1129961649158,21,6,Enviada
413,715,19,2017-04-11 21:53:37 UTC,0.0119,18053.35298716501,33305.88,15252.527012834988,1120.146662922147,18,0,Enviada
535,367,19,2017-10-17 15:19:55 UTC,0.0175,143356.77148353576,183308.52,39951.748516464213,3236.7801950897838,86,1,Enviada
552,804,19,2018-10-13 22:25:25 UTC,0.0139,104362.52984536126,132399.37,28036.840154638729,1956.3849214188781,98,4,Enviada
685,845,19,2011-05-15 21:38:19 UTC,0.0103,49646.842500857812,91935.02,42288.177499142192,1063.1502028869813,64,3,Enviada
1126,213,19,2021-03-04 09:06:04 UTC,0.0095,87235.551414313639,103873.9,16638.348585686359,44240.308484548572,2,5,Enviada
1113,70,20,2021-01-06 05:30:01 UTC,0.0201,71453.784713087283,104460.86,33007.075286912717,1663.6145200642609,100,4,Enviada
180,641,21,2013-09-11 23:11:48 UTC,0.0192,162205.41253518616,233950.18,71744.76746481382,3769.6329290756212,92,5,Enviada
1515,845,21,2018-09-24 09:20:31 UTC,0.0143,51909.583530072618,67405.3,15495.716469927384,1816.4719115400862,37,2,Enviada
289,175,22,2013-12-17 23:03:46 UTC,0.0195,37514.325260164747,67230.7,29716.37473983525,811.47758370223016,120,4,Enviada
467,522,22,2010-04-07 07:20:32 UTC,0.0178,150255.60479496623,222421.41,72165.805205033786,9829.5467385125648,18,6,Enviada
1235,359,22,2021-01-08 21:11:43 UTC,0.0116,187941.96506421253,225117.54,37175.574935787481,190122.09185895647,1,6,Enviada
1555,562,22,2017-05-05 11:31:55 UTC,0.0102,125720.20289621099,211913.34,86193.137103789,2186.73583371973,87,6,Enviada
1726,56,22,2014-05-24 22:58:13 UTC,0.0149,57910.762386852337,77127.49,19216.727613147665,3691.7296106062558,18,4,Enviada
375,426,23,2021-05-20 01:38:29 UTC,0.0093,3655.89945167303,4480.41,824.51054832696991,61.02007156057369,88,5,Enviada
540,132,23,2019-01-09 10:20:07 UTC,0.0199,161533.18896088397,194033.52,32500.331039116023,83185.394643144376,2,2,Enviada
1227,58,23,2016-04-05 14:42:14 UTC,0.0141,100950.48054376377,188223.7,87273.219456236242,2478.3658503061629,61,0,Enviada
1337,647,23,2014-07-06 00:41:42 UTC,0.024,80642.268672925216,161191.34,80549.07132707478,2162.6582318639012,95,0,Enviada
448,789,24,2017-11-11 05:58:58 UTC,0.0173,32661.584928072563,50022.95,17361.365071927434,833.863090153753,66,4,Enviada
1327,493,24,2014-10-23 18:49:28 UTC,0.0105,119643.0470874498,148560.12,28917.072912550197,2445.9761869170679,69,4,Enviada
1409,95,24,2011-06-21 01:03:38 UTC,0.0179,36968.347468085514,44757.84,7789.4925319144795,788.55919314326366,103,4,Enviada
1579,243,24,2015-03-12 19:56:53 UTC,0.0152,52774.415238818823,67777.71,15003.29476118118,1875.3539051252881,37,5,Enviada
165,651,25,2011-11-07 03:16:25 UTC,0.0222,188359.28180843248,232132.96,43773.678191567524,7268.7431278747245,39,3,Enviada
1608,984,25,2022-06-05 16:09:28 UTC,0.0195,140012.87255107571,177600.69,37587.817448924296,3818.4809586826991,65,0,Enviada
1766,827,25,2016-08-27 00:32:46 UTC,0.0129,171210.94207560428,216152.24,44941.297924395694,3120.1921855485866,96,0,Enviada
1238,626,26,2021-08-17 14:36:04 UTC,0.0122,111520.32102582621,192191.31,80670.988974173786,2011.9479458173039,93,2,Enviada
1518,504,26,2022-03-19 10:28:19 UTC,0.0177,133231.814346518,164079.95,30848.135653482033,3622.3786173548224,60,5,Enviada
1718,379,26,2011-08-21 17:37:22 UTC,0.0117,162981.10121148446,207719.18,44738.078788515515,3057.8702008329979,84,4,Enviada
1739,317,26,2012-06-22 15:23:21 UTC,0.0203,25262.256880560293,29962.47,4700.213119439708,708.635222116725,64,3,Enviada
109,902,27,2013-10-18 06:45:28 UTC,0.025,155048.81836292666,208071.45,53022.631637073362,9580.0520897613114,21,1,Enviada
567,93,27,2017-07-08 19:14:41 UTC,0.0103,174401.49083915475,211234.22,36832.729160845243,3410.4608725996491,73,0,Enviada
598,430,27,2022-11-24 12:17:31 UTC,0.023,33410.549209783734,44022.51,10611.960790216268,1374.7701526909725,36,1,Enviada
660,897,27,2017-09-07 00:35:08 UTC,0.0144,33846.45477797238,64823.8,30977.345222027619,1011.2934497274858,46,4,Enviada
730,897,27,2016-04-29 06:19:53 UTC,0.0249,75215.687493381221,129792.02,54576.332506618783,1993.6399052303964,114,4,Enviada
1214,371,27,2019-08-14 01:41:27 UTC,0.0115,88691.998782991825,149447.05,60755.051217008164,2342.33053118566,50,5,Enviada
1370,808,27,2013-08-10 13:42:59 UTC,0.0223,147410.70449332349,193379.48,45968.775506676524,4259.0197429846567,67,5,Enviada
1457,770,27,2014-07-04 00:46:18 UTC,0.0194,16914.9632037103,21365.48,4450.5167962896976,467.48349513339161,63,3,Enviada
1477,624,27,2016-07-28 02:44:22 UTC,0.0161,10901.782972981295,15435.03,4533.247027018705,212.12769354643208,110,5,Enviada
1489,584,27,2019-09-22 04:04:37 UTC,0.0163,18896.794599992005,26491.41,7594.615400007996,570.61565611651542,48,5,Enviada
1547,638,27,2017-01-07 06:23:03 UTC,0.0233,44760.811835102242,61835.32,17074.508164897761,1541.6170434789894,49,5,Enviada
1820,358,27,2022-11-26 09:59:44 UTC,0.0245,21065.284777862697,25728.28,4662.9952221373005,587.64346653308087,87,0,Enviada
1889,436,27,2016-08-17 15:37:28 UTC,0.0207,75825.3135123057,113859.74,38034.426487694305,9320.8335312524468,9,6,Enviada
1975,643,27,2015-06-05 05:54:51 UTC,0.0182,100319.06469554172,180144.45,79825.3853044583,26231.185497787254,4,5,Enviada
432,384,28,2017-06-15 20:54:41 UTC,0.0148,80997.7405171533,149598.05,68600.309482846686,1966.889148914612,64,5,Enviada
513,82,28,2019-01-30 07:56:41 UTC,0.0129,122515.33044692925,219782.2,97266.869553070763,3205.5014058203565,53,2,Enviada
580,35,29,2017-04-17 20:55:15 UTC,0.0149,166473.2378327896,229462.99,62989.752167210376,5885.4941655562288,37,0,Enviada
605,20,29,2014-08-17 05:37:13 UTC,0.0083,82690.200682282972,120311.64,37621.439317717035,1394.2325922982072,82,3,Enviada
895,674,29,2020-07-24 15:00:23 UTC,0.021,94843.8532226259,140271.31,45427.4567773741,2363.4792873750189,89,1,Enviada
922,327,29,2010-08-16 22:49:10 UTC,0.0229,159260.10810566929,223323.45,64063.341894330726,10014.524035344761,20,2,Enviada
935,593,30,2018-05-25 03:45:13 UTC,0.0192,166721.96418930966,233975.8,67253.835810690332,3923.0617290161217,89,4,Enviada
1411,107,30,2014-05-16 01:07:04 UTC,0.017,74705.4016096954,118591.27,43885.8683903046,1590.6886477053647,95,4,Enviada
1679,845,30,2021-12-05 06:09:15 UTC,0.0146,15546.415224808261,20258.27,4711.8547751917386,597.03602667077416,33,0,Enviada
